created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
2026-04-08 10:59:41.890,0.028072,,,,0,4898,2195,1990,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,20961,6378,,critic-api
2026-04-08 10:59:23.823,0.069498,,,0,0,2857,1410,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,13886,13803,,critic-api
2026-04-08 10:58:31.447,0.027652,,,,0,4898,2153,1784,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,49269,13501,,critic-api
2026-04-08 10:58:12.014,0.069904,,,0,0,3416,1452,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,14939,14873,,critic-api
2026-04-08 10:57:36.441,0.025572,,,,0,5242,1902,1679,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,33422,13121,,critic-api
2026-04-08 10:57:14.180,0.070311,,,0,0,4315,1438,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,15597,15504,,critic-api
2026-04-08 10:56:32.913,0.023475,,,,0,4268,1814,1467,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,36890,9807,,critic-api
2026-04-08 10:55:15.437,0.069838,,,0,0,5276,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,71916,71897,,critic-api
2026-04-08 10:54:55.896,0.021535,,,,0,4268,1620,1297,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,15733,5956,,critic-api
2026-04-08 10:54:34.311,0.069772,,,0,0,3446,1403,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,16567,16532,,critic-api
2026-04-08 10:54:11.691,0.025411,,,,0,4601,1966,1773,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,20122,6344,,critic-api
